DATE,CT,ME,MA,NH,RI,VT,T_WA
2016-06-22,74.25,67.0,70.66666666666667,68.0,74.0,64.33333333333333,70.92265826580415
2016-06-23,70.5,61.0,65.44444444444444,61.5,70.0,57.83333333333334,65.90006088219363
2016-06-24,67.75,61.5,66.55555555555556,63.5,67.5,63.0,66.02271890549291
2016-06-25,70.5,60.88888888888889,65.77777777777777,65.0,70.5,62.42857142857143,66.59417657135712
2016-06-26,69.25,65.8888888888889,64.55555555555556,66.5,68.0,67.0,66.33038288180012
2016-06-27,70.75,69.66666666666667,66.55555555555556,69.5,65.5,71.28571428571429,68.23782105122055
2016-06-28,72.5,71.55555555555556,70.8888888888889,72.0,70.5,70.71428571428571,71.40286991078106
2016-06-29,71.75,70.8888888888889,71.77777777777777,72.0,72.0,73.16666666666667,71.78521001860648
2016-06-30,75.25,66.33333333333333,73.0,70.5,72.0,69.0,72.46823317062828
2016-07-01,73.75,67.77777777777777,71.8888888888889,71.0,74.0,67.85714285714286,71.86337346765328
2016-07-02,72.0,68.8888888888889,71.1111111111111,70.0,72.0,67.85714285714286,70.94825764579534
2016-07-03,68.75,64.22222222222223,67.44444444444444,65.0,70.5,61.14285714285714,67.19550024679307
2016-07-04,68.5,63.66666666666666,67.8888888888889,65.0,70.0,64.0,67.37592209387503
2016-07-05,72.5,68.66666666666667,72.66666666666667,70.0,74.5,67.28571428571429,71.92484079756092
2016-07-06,76.5,69.8888888888889,72.1111111111111,74.0,76.0,71.0,73.3677760261292
2016-07-07,79.25,70.0,78.0,76.5,80.5,73.57142857142857,77.43067731628064
2016-07-08,79.5,58.88888888888889,73.33333333333333,73.0,76.5,76.0,73.81395896474884
2016-07-09,73.5,59.88888888888889,66.77777777777777,66.0,67.0,71.71428571428571,67.92056252683798
2016-07-10,66.0,58.22222222222222,62.444444444444436,59.5,65.0,62.28571428571429,62.822053534961285
2016-07-11,71.0,58.33333333333334,64.22222222222223,60.5,67.5,63.0,65.15838248716088
2016-07-12,70.0,66.22222222222223,65.1111111111111,68.5,67.0,66.57142857142857,66.89244458493046
2016-07-13,71.5,71.0,70.77777777777777,69.5,73.0,67.28571428571429,70.86611429254933
2016-07-14,77.0,72.55555555555556,75.0,75.0,74.5,74.42857142857143,75.19929028267427
2016-07-15,79.25,75.55555555555556,75.0,77.5,75.0,76.85714285714286,76.37805871276734
2016-07-16,80.75,75.33333333333333,80.0,78.5,81.0,75.14285714285714,79.48736941718475
2016-07-17,78.5,72.0,78.1111111111111,76.0,78.5,70.0,77.14460125003623
2016-07-18,80.25,69.0,75.44444444444444,75.5,79.0,71.71428571428571,76.1170629148046
2016-07-19,81.0,71.44444444444444,78.0,75.0,78.5,72.0,77.63559723899829
2016-07-20,73.0,63.77777777777778,70.66666666666667,66.5,75.5,63.0,70.24428668455111
2016-07-21,70.0,65.66666666666667,68.66666666666667,66.0,69.5,62.714285714285715,68.28025972418608
2016-07-22,74.5,69.77777777777777,72.22222222222223,70.0,73.5,68.0,72.25809324996166
2016-07-23,82.5,76.8888888888889,80.44444444444444,80.0,78.5,76.71428571428571,80.27990909882627
2016-07-24,82.75,73.77777777777777,79.0,76.5,80.5,72.42857142857143,79.0295934971354
2016-07-25,78.5,71.1111111111111,75.0,72.0,77.5,68.42857142857143,75.115848868141
2016-07-26,79.75,71.55555555555556,75.77777777777777,73.0,78.0,71.28571428571429,76.06478988553566
2016-07-27,79.5,74.77777777777777,80.66666666666667,76.5,81.0,72.57142857142857,79.15511374825957
2016-07-28,78.0,74.55555555555556,76.8888888888889,75.5,78.5,73.28571428571429,76.78076235508104
2016-07-29,79.5,74.0,78.33333333333333,76.5,77.0,73.42857142857143,77.75191313483431
2016-07-30,78.0,72.0,74.25,74.0,76.0,72.28571428571429,74.96630619360985
2016-07-31,77.25,68.77777777777777,74.0,71.5,75.5,67.14285714285714,73.89750068813696
2016-08-01,73.75,66.55555555555556,70.22222222222223,66.5,76.0,66.28571428571429,70.64337444032446
